x,y,u,v,p
0.027972028,0.196742459,0.065014159,1.22078E-05,9.295677214
0.034283497,0.194333149,0.111738699,-1.2844E-05,9.27403056
0.034965035,0.196659207,0.066649488,-8.35981E-06,9.27172897
0.049662263,0.005746576,0.113359236,1.35524E-05,9.221086332
0.055944056,0.003415192,0.068180015,-2.64857E-06,9.199278403
0.048258163,0.00861632,0.167428803,4.58998E-05,9.226147347
0.056722703,0.00593584,0.116963098,-3.44834E-06,9.196434855
0.062937063,0.003450716,0.068862436,1.44403E-05,9.174259315
0.044623039,0.013878619,0.262310136,-5.38519E-05,9.239125586
0.037616709,0.018057601,0.333279457,-0.000357853,9.267143182
0.028060245,0.022366171,0.403541536,5.34524E-05,9.296959765
0.018908728,0.029415888,0.509156682,-5.08139E-05,9.326177451
0.020358169,0.04500952,0.7060651,6.30774E-05,9.320818588
0.021033638,0.059905949,0.850841419,-2.85382E-05,9.318653681
0.012823708,0.188518291,0.219624749,-3.79917E-06,9.348147792
0.021861046,0.191732693,0.160732641,4.78806E-05,9.316243513
0.018111096,0.188309908,0.223220078,-8.37251E-05,9.327454041
0.028803328,0.191167204,0.171378247,5.52364E-05,9.293232499
0.041259525,0.194173818,0.114793703,3.28424E-05,9.25031151
0.041958042,0.196588686,0.068042701,1.4414E-05,9.248078117
0.035928226,0.191139764,0.171834831,-4.31091E-05,9.268326754
0.048178732,0.194013759,0.117942069,4.9377E-05,9.226740997
0.048951049,0.196532269,0.069218535,1.99483E-05,9.224097952
0.021281562,0.073170822,0.941629209,-0.000231034,9.318114477
0.021425019,0.086507866,0.996513165,-0.000138219,9.318083205
0.021462577,0.099933453,1.015107265,-2.34607E-05,9.317971867
0.063527869,0.006045318,0.119026105,3.70439E-05,9.17233775
0.06993007,0.003480115,0.069402491,2.79799E-06,9.150052461
0.05532382,0.008986019,0.174210093,-3.01811E-05,9.201378939
0.05158435,0.012878088,0.2443995,0.000122318,9.214128946
0.06201832,0.009239377,0.178901183,7.21786E-05,9.177603252
0.043885868,0.021126539,0.382767064,7.07605E-05,9.240501486
0.051247315,0.019700152,0.360043402,0.00024383,9.214357562
0.038302713,0.027605324,0.482392402,0.000147552,9.263692365
0.030117913,0.035636809,0.593299482,0.000606712,9.286792301
0.070413791,0.006021688,0.11853354,2.88218E-07,9.148305635
0.076923077,0.003507245,0.069953318,-1.08106E-05,9.125877956
0.031571333,0.05178591,0.777450771,0.000185782,9.281702091
0.032067409,0.065993469,0.897293413,-0.000263188,9.280417008
0.021497395,0.113348797,0.996909696,8.90306E-05,9.317783673
0.02141145,0.126761156,0.942026896,0.000163873,9.317998302
0.020815651,0.139753329,0.853686291,-1.38369E-05,9.31871488
0.016759289,0.18217757,0.329602523,3.3954E-06,9.332510434
0.024223052,0.186421517,0.256969823,0.000272183,9.309164725
0.019829203,0.155149483,0.704030874,2.17272E-05,9.323172258
0.0184304,0.171301787,0.498918626,0.000321253,9.327546811
0.032229644,0.186293723,0.259211936,-8.30006E-05,9.281362406
0.043098123,0.190999575,0.174509383,0.000127581,9.243684788
0.039028383,0.187092704,0.244930077,2.08139E-06,9.257384138
0.055345876,0.19393213,0.119602067,4.51874E-05,9.201712054
0.055944056,0.19649093,0.070096167,1.70512E-05,9.199727205
0.050138248,0.190696921,0.180209221,6.86602E-05,9.220339127
0.032197954,0.079542884,0.972270429,-0.000240502,9.280648229
0.032292219,0.093084877,1.010100182,-0.000132879,9.280468787
0.032330346,0.106596279,1.010536748,2.33768E-05,9.280462412
0.069066638,0.009223962,0.178570503,-1.58786E-05,9.152591085
0.058439009,0.014590983,0.274439429,-7.69163E-05,9.190940541
0.065325766,0.013348754,0.252708037,7.78048E-05,9.165104481
0.047470551,0.028828761,0.499781082,0.00063516,9.226919747
0.058268187,0.021741609,0.392303899,-0.000184761,9.193382764
0.054611759,0.027211441,0.475921248,-1.81992E-05,9.202612418
0.042600255,0.041528882,0.66686956,0.000496174,9.245725554
0.077533708,0.006009763,0.118346485,-2.62828E-05,9.123845325
0.083916084,0.003532319,0.070483971,-9.85162E-06,9.101865485
0.07588841,0.009012223,0.174714235,-1.30916E-05,9.129950852
0.043096704,0.058415269,0.83947701,0.000262631,9.242911004
0.043185976,0.072221985,0.936284158,-0.000138493,9.242246372
0.08466815,0.006101837,0.120150476,-1.43162E-05,9.099135248
0.090909091,0.003552192,0.070839181,2.96423E-05,9.076788947
0.062937063,0.196465083,0.07063129,2.74848E-07,9.175014806
0.062496368,0.1939099,0.12007833,1.34101E-06,9.176720279
0.032308898,0.120095873,0.973805052,0.00013763,9.280430854
0.032079699,0.133531142,0.900640722,0.000140611,9.281450202
0.030667459,0.147326917,0.786290162,-0.000205545,9.285713842
0.028124422,0.177390883,0.407446506,-4.71469E-07,9.296117119
0.028976948,0.164320301,0.593319836,-0.000141418,9.292600007
0.038304086,0.180525896,0.356636083,9.82261E-05,9.261433552
0.046275143,0.184546612,0.289779614,0.000233411,9.234074262
0.057322081,0.190623608,0.181684281,9.57959E-05,9.194491372
0.053565704,0.186511963,0.255422174,0.000212893,9.208051447
0.043226743,0.086107756,0.995273982,-0.000148249,9.242606232
0.043199943,0.099767616,1.014864248,-4.10057E-05,9.242836698
0.043226889,0.113343088,0.996698493,0.000116795,9.242631894
0.072204892,0.015058331,0.28283006,-2.24651E-05,9.142269317
0.064892999,0.019991852,0.364821857,-2.46909E-05,9.166140998
0.054269097,0.037301532,0.614434089,-7.87092E-05,9.208577946
0.062169058,0.02956924,0.51058441,-0.000390755,9.179300509
0.053373472,0.051128566,0.771022844,-6.95487E-05,9.208720915
0.083135112,0.009211561,0.178430202,-6.29529E-05,9.104468306
0.079234936,0.013339402,0.252589771,-0.00010791,9.118944083
0.054359725,0.079143323,0.970817154,0.000220387,9.205340957
0.055784357,0.064461959,0.88737241,0.000129385,9.20310902
0.091521753,0.006136066,0.120733835,6.7962E-05,9.074671246
0.097902098,0.003563982,0.070999348,7.05866E-06,9.053111513
0.090100372,0.009292519,0.179877045,0.000135834,9.079863548
0.069399379,0.193873411,0.120757976,-2.40907E-05,9.15230312
0.06993007,0.196454675,0.070815968,-9.29592E-06,9.150403488
0.064338605,0.190492892,0.184113011,-4.79389E-05,9.170651379
0.076272463,0.193838659,0.121352384,-2.8024E-05,9.128364986
0.076923077,0.196460036,0.070673451,-8.97171E-06,9.125997968
0.043194023,0.126874026,0.941283072,0.000218707,9.24196923
0.042350799,0.13984921,0.853245394,-3.99043E-05,9.244665584
0.040052338,0.154469539,0.711122,-0.000359575,9.252090393
0.038007094,0.170300752,0.513029069,-0.000238195,9.260929543
0.046517167,0.175162868,0.441366254,0.000113411,9.234093035
0.054067586,0.179619469,0.371180851,0.000207437,9.207047308
0.060890639,0.185200818,0.2787139,4.76521E-05,9.182259588
0.054124643,0.092886929,1.009778134,2.82744E-05,9.205578313
0.054091569,0.106546703,1.010471308,-3.60585E-05,9.205740585
0.054263023,0.120162253,0.973527099,-9.26002E-05,9.205600186
0.0652294,0.08646394,0.996294284,-2.95653E-05,9.166977422
0.078807664,0.019965423,0.364480919,-2.94452E-05,9.122373611
0.070974941,0.024532455,0.436345494,-0.000110179,9.146159402
0.062800109,0.042105607,0.67291325,0.000355791,9.172572278
0.069934803,0.034930507,0.582344171,-0.000477163,9.152493422
0.063357949,0.053774436,0.796793483,1.00895E-05,9.170910458
0.086106514,0.014837533,0.278899968,7.45259E-05,9.093693471
0.066012621,0.073343969,0.94207108,-0.000141259,9.16354813
0.06705898,0.062980817,0.875313479,-0.00017712,9.160680724
0.104895105,0.003566851,0.071048784,-2.25657E-06,9.028812337
0.09839052,0.006156177,0.121041969,1.22201E-05,9.051384282
0.0970943,0.009356622,0.180962773,3.96819E-05,9.055499934
0.093191059,0.013432584,0.254110475,0.000189963,9.068569091
0.07094625,0.190745751,0.179421354,-1.83734E-05,9.146195342
0.067892976,0.186682945,0.252473524,-9.94666E-05,9.157257484
0.083380601,0.193882763,0.120445677,-2.50648E-05,9.103330505
0.083916084,0.196480829,0.070234271,-9.33305E-06,9.10138679
0.07833207,0.190414274,0.185381353,-0.000105075,9.121629292
0.090909091,0.196508684,0.069605789,-3.56512E-05,9.076867907
0.090453317,0.193868792,0.120632883,-8.27126E-05,9.07856746
0.05517391,0.134081922,0.897552571,2.8621E-05,9.204225397
0.052424365,0.147434651,0.78546595,0.000120104,9.21338241
